Dates,Target Price,Last Price,Buy %,Hold %,Sell %,Price Spread
2015-09-12 00:00:00,,,,,,
2015-10-12 00:00:00,,,,,,
2015-11-12 00:00:00,,,,,,
2015-12-12 00:00:00,,,,,,
2016-01-12 00:00:00,,,,,,
2016-02-12 00:00:00,,,,,,
2016-03-12 00:00:00,,,,,,
2016-04-12 00:00:00,,,,,,
2016-05-12 00:00:00,,,,,,
2016-06-12 00:00:00,,,,,,
2016-07-12 00:00:00,,,,,,
2016-08-12 00:00:00,,,,,,
2016-09-12 00:00:00,,,,,,
2016-10-12 00:00:00,,,,,,
2016-11-12 00:00:00,,,,,,
2016-12-12 00:00:00,,,,,,
2017-01-12 00:00:00,,,,,,
2017-02-12 00:00:00,,,,,,
2017-03-12 00:00:00,,,,,,
2017-04-12 00:00:00,,,,,,
2017-05-12 00:00:00,,,,,,
2017-06-12 00:00:00,,,,,,
2017-07-12 00:00:00,,,,,,
2017-08-12 00:00:00,,,,,,
2017-09-12 00:00:00,,,,,,
2017-10-12 00:00:00,,,,,,
2017-11-12 00:00:00,,,,,,
2017-12-12 00:00:00,,,,,,
2018-01-12 00:00:00,,,,,,
2018-02-12 00:00:00,,,,,,
2018-03-12 00:00:00,,,,,,
2018-04-12 00:00:00,,,,,,
2018-05-12 00:00:00,,,,,,
2018-06-12 00:00:00,,,,,,
2018-07-12 00:00:00,,,,,,
2018-08-12 00:00:00,,,,,,
2018-09-12 00:00:00,,,,,,
2018-10-12 00:00:00,,,,,,
2018-11-12 00:00:00,,,,,,
2018-12-12 00:00:00,,,,,,
2019-01-12 00:00:00,,,,,,
2019-02-12 00:00:00,,,,,,
2019-03-12 00:00:00,,,,,,
2019-04-12 00:00:00,,,,,,
2019-05-12 00:00:00,,,,,,
2019-06-12 00:00:00,,58,,,,
2019-07-12 00:00:00,76.06666564941406,73.5,0.6875,0.3125,0,2.5666656494140625
2019-08-12 00:00:00,88,93.01,0.6875,0.3125,0,-5.010000000000005
2019-09-12 00:00:00,92,69.66,0.6875,0.3125,0,22.340000000000003
2019-10-12 00:00:00,88.33333587646484,60.27,0.6875,0.25,0.0625,28.06333587646484
2019-11-12 00:00:00,80,47.05,0.631578947368421,0.2631578947368421,0.10526315789473684,32.95
2019-12-12 00:00:00,76.38095092773438,47.3,0.6190476190476191,0.2857142857142857,0.09523809523809523,29.080950927734378
2020-01-12 00:00:00,76.38095092773438,57.2,0.6190476190476191,0.2857142857142857,0.09523809523809523,19.180950927734372
2020-02-12 00:00:00,76.94999694824219,65.08,0.6363636363636364,0.2727272727272727,0.09090909090909091,11.86999694824219
2020-03-12 00:00:00,74,37.82,0.6818181818181818,0.22727272727272727,0.09090909090909091,36.18
2020-04-12 00:00:00,71.30000305175781,58.15,0.6956521739130435,0.21739130434782608,0.08695652173913043,13.150003051757814
2020-05-12 00:00:00,71.94999694824219,76.15,0.6956521739130435,0.21739130434782608,0.08695652173913043,-4.200003051757818
2020-06-12 00:00:00,106.69999694824219,93.12,0.6956521739130435,0.17391304347826086,0.13043478260869565,13.579996948242183
2020-07-12 00:00:00,110.6500015258789,116.65,0.6956521739130435,0.21739130434782608,0.08695652173913043,-5.999998474121099
2020-08-12 00:00:00,111.4000015258789,98.45,0.6818181818181818,0.22727272727272727,0.09090909090909091,12.950001525878903
2020-09-12 00:00:00,149.5454559326172,126.28,0.6956521739130435,0.21739130434782608,0.08695652173913043,23.265455932617186
2020-10-12 00:00:00,152,145.96,0.7391304347826086,0.17391304347826086,0.08695652173913043,6.039999999999992
2020-11-12 00:00:00,157.4545440673828,137.3,0.8181818181818182,0.13636363636363635,0.045454545454545456,20.1545440673828
2020-12-12 00:00:00,179.23809814453125,175.92,0.7619047619047619,0.19047619047619047,0.047619047619047616,3.3180981445312625
2021-01-12 00:00:00,200.5238037109375,233.59,0.8095238095238095,0.14285714285714285,0.047619047619047616,-33.0661962890625
2021-02-12 00:00:00,217.38095092773438,242.1,0.8181818181818182,0.13636363636363635,0.045454545454545456,-24.71904907226562
2021-03-12 00:00:00,237.84210205078125,199,0.8181818181818182,0.13636363636363635,0.045454545454545456,38.84210205078125
2021-04-12 00:00:00,249.10000610351562,203.99,0.8571428571428571,0.14285714285714285,0,45.110006103515616
2021-05-12 00:00:00,250.31817626953125,189.27,0.8695652173913043,0.13043478260869565,0,61.04817626953124
2021-06-12 00:00:00,253.5,231.27,0.875,0.08333333333333333,0.041666666666666664,22.22999999999999
2021-07-12 00:00:00,267.7083435058594,261.79,0.9166666666666666,0.041666666666666664,0.041666666666666664,5.9183435058593545
2021-08-12 00:00:00,276.1199951171875,245.82,0.92,0.04,0.04,30.299995117187507
2021-09-12 00:00:00,308.4800109863281,262,0.92,0.04,0.04,46.480010986328125
2021-10-12 00:00:00,308.4800109863281,252.74,0.88,0.08,0.04,55.740010986328116
2021-11-12 00:00:00,308.7083435058594,284.3,0.84,0.12,0.04,24.408343505859364
2021-12-12 00:00:00,292.5199890136719,198.6,0.8148148148148148,0.14814814814814814,0.037037037037037035,93.91998901367188
2022-01-12 00:00:00,285.2592468261719,187.97,0.8620689655172413,0.10344827586206896,0.034482758620689655,97.28924682617188
2022-02-12 00:00:00,278.03570556640625,181.86,0.8666666666666667,0.1,0.03333333333333333,96.17570556640624
2022-03-12 00:00:00,262.4285583496094,190.54,0.9333333333333333,0.06666666666666667,0,71.88855834960938
2022-04-12 00:00:00,270.21429443359375,223.51,0.9310344827586207,0.06896551724137931,0,46.70429443359376
2022-05-12 00:00:00,268.4827575683594,139.81,0.9310344827586207,0.06896551724137931,0,128.67275756835937
2022-06-12 00:00:00,229.65516662597656,169.32,1,0,0,60.33516662597657
2022-07-12 00:00:00,233.44827270507812,174.39,1,0,0,59.05827270507814
2022-08-12 00:00:00,236.03448486328125,200.87,1,0,0,35.164484863281245
2022-09-12 00:00:00,239.16128540039062,195.1,0.9375,0.0625,0,44.06128540039063
2022-10-12 00:00:00,240.52777099609375,152.99,0.9459459459459459,0.05405405405405406,0,87.53777099609374
2022-11-12 00:00:00,238.6842041015625,143.12,0.95,0.05,0,95.5642041015625
2022-12-12 00:00:00,178.75,118.54,0.926829268292683,0.07317073170731707,0,60.209999999999994
2023-01-12 00:00:00,166.97222900390625,97.98,0.9047619047619048,0.09523809523809523,0,68.99222900390625
2023-02-12 00:00:00,165,108.96,0.8888888888888888,0.1111111111111111,0,56.040000000000006
2023-03-12 00:00:00,167.36585998535156,119.72,0.8936170212765957,0.10638297872340426,0,47.645859985351564
2023-04-12 00:00:00,168.1750030517578,135,0.8913043478260869,0.10869565217391304,0,33.17500305175781
2023-05-12 00:00:00,168.1750030517578,130.23,0.8913043478260869,0.10869565217391304,0,37.94500305175782
2023-06-12 00:00:00,176.73170471191406,151.11,0.8913043478260869,0.10869565217391304,0,25.62170471191405
2023-07-12 00:00:00,178.07142639160156,146.13,0.8936170212765957,0.10638297872340426,0,31.941426391601567
2023-08-12 00:00:00,178.6904754638672,148.22,0.8936170212765957,0.10638297872340426,0,30.47047546386719
2023-09-12 00:00:00,185.51219177246094,169.68,0.8695652173913043,0.13043478260869565,0,15.83219177246093
2023-10-12 00:00:00,192.09365844726562,187.56,0.8695652173913043,0.13043478260869565,0,4.533658447265623
2023-11-12 00:00:00,197.7906951904297,196.31,0.8958333333333334,0.10416666666666667,0,1.4806951904296852
2023-12-12 00:00:00,243.13636779785156,248.55,0.9166666666666666,0.08333333333333333,0,-5.413632202148449
2024-01-12 00:00:00,273.5555419921875,283.35,0.9387755102040817,0.04081632653061224,0.02040816326530612,-9.794458007812523
2024-02-12 00:00:00,306.86956787109375,321.29,0.9215686274509803,0.058823529411764705,0.0196078431372549,-14.42043212890627
2024-03-12 00:00:00,400.0909118652344,329.27,0.92,0.08,0,70.8209118652344
2024-04-12 00:00:00,401.6346740722656,309.05,0.9215686274509803,0.0784313725490196,0,92.58467407226561
2024-05-12 00:00:00,400.8085021972656,320.76,0.9215686274509803,0.0784313725490196,0,80.04850219726563
2024-06-12 00:00:00,402.1111145019531,387.37,0.9215686274509803,0.0784313725490196,0,14.74111450195312
2024-07-12 00:00:00,404.68182373046875,371.32,0.9019607843137255,0.09803921568627451,0,33.36182373046876
2024-08-12 00:00:00,354.28570556640625,239.34,0.803921568627451,0.17647058823529413,0.0196078431372549,114.94570556640625
2024-09-12 00:00:00,325.2727355957031,257.1,0.8235294117647058,0.1568627450980392,0.0196078431372549,68.1727355957031
2024-10-12 00:00:00,327.4444580078125,320.21,0.8076923076923077,0.17307692307692307,0.019230769230769232,7.2344580078125205
2024-11-12 00:00:00,330.8888854980469,343.5,0.8113207547169812,0.16981132075471697,0.018867924528301886,-12.611114501953125
2024-12-12 00:00:00,382.1333312988281,365.5,0.7777777777777778,0.18518518518518517,0.037037037037037035,16.633331298828125
2025-01-12 00:00:00,389.478271484375,348.84,0.7636363636363637,0.2,0.03636363636363636,40.638271484375025
2025-02-12 00:00:00,400.3043518066406,434.63,0.7454545454545455,0.21818181818181817,0.03636363636363636,-34.32564819335937
2025-03-12 00:00:00,409.20001220703125,346.76,0.7272727272727273,0.2545454545454545,0.01818181818181818,62.44001220703126
2025-04-12 00:00:00,409.5555419921875,377.9,0.75,0.23214285714285715,0.017857142857142856,31.655541992187523
2025-05-12 00:00:00,415.7173767089844,429.44,0.7543859649122807,0.21052631578947367,0.03508771929824561,-13.722623291015623
